loss,mae
0.003807650413364172,0.02513844147324562
0.0038634082302451134,0.026944229379296303
0.0047302329912781715,0.03316739946603775
0.0067331669852137566,0.04099502041935921
0.00479692779481411,0.03563819080591202
0.023943012580275536,0.10375672578811646
0.021297764033079147,0.09531097114086151
0.033047642558813095,0.11511920392513275
0.029188502579927444,0.11544874310493469
0.02810351923108101,0.12243758887052536
0.05577684938907623,0.17172321677207947
0.040658626705408096,0.13869868218898773
0.02432398684322834,0.11197124421596527
0.016231905668973923,0.08818163722753525
0.01904306747019291,0.08579129725694656
0.01450291182845831,0.07525679469108582
0.011597901582717896,0.061097078025341034
0.010422122664749622,0.05414130911231041
0.009948434308171272,0.05077555030584335
0.009667150676250458,0.04868536442518234
