m1,m5,m7,m11,m13,m17,m19,phi5,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17
0.85,0.01,0,0,0,0,0,-0.6664,0.25897185451253063,0.3308816160608316,0.5165522782208657,0.5850438134373451,0.7621370469060298,0.8343313946549913,0.9927658648422235,1.0724343673407375,1.1927307964527998,1.2505615316618726,1.4673886293383425,1.5487856311776078,1.7006934746766347,1.8202442534451995,1.934517018959111,2.088257956469832,2.175266144172115
0.85,0.01,0,0,0,0,0,-0.6029,0.25897185451253063,0.3308816160608316,0.5165522782208657,0.5850438134373451,0.7621370469060298,0.8343313946549913,0.9927658648422235,1.0724343673407375,1.1927307964527998,1.2505615316618726,1.4673886293383425,1.5487856311776078,1.7006934746766347,1.8202442534451995,1.934517018959111,2.088257956469832,2.175266144172115
0.85,0.01,0,0,0,0,0,-0.5395,0.25889455140637163,0.3310323842222333,0.5164678967167294,0.5849835352427869,0.762063204970798,0.8343364836993779,0.993026928608208,1.07233934396096,1.1926885442162245,1.2504974211713962,1.4674703046079955,1.548831710772436,1.7006246013958413,1.8204026119805885,1.9343591974109644,2.0882238158139224,2.1753362731456862
0.85,0.01,0,0,0,0,0,-0.476,0.25889455140637163,0.3310323842222333,0.5164678967167294,0.5849835352427869,0.762063204970798,0.8343364836993779,0.993026928608208,1.07233934396096,1.1926885442162245,1.2504974211713962,1.4674703046079955,1.548831710772436,1.7006246013958413,1.8204026119805885,1.9343591974109644,2.0882238158139224,2.1753362731456862
0.85,0.01,0,0,0,0,0,-0.4125,0.2588279651414972,0.3312026813597748,0.5162822397761958,0.585018235097136,0.7621957767221919,0.8341000631052244,0.993161345608693,1.0723809868886447,1.1927544334104985,1.2502888479231187,1.4675092270992993,1.5489495515871317,1.7004712248462495,1.8204225151174938,1.9343012587160684,2.0883274544469366,2.1754064834163827
0.85,0.01,0,0,0,0,0,-0.3491,0.2588279651414972,0.3312026813597748,0.5162822397761958,0.585018235097136,0.7621957767221919,0.8341000631052244,0.993161345608693,1.0723809868886447,1.1927544334104985,1.2502888479231187,1.4675092270992993,1.5489495515871317,1.7004712248462495,1.8204225151174938,1.9343012587160684,2.0883274544469366,2.1754064834163827
0.85,0.01,0,0,0,0,0,-0.2856,0.25872993144139417,0.33134414913075333,0.516203925889425,0.5849172902889567,0.7621471181714277,0.8341008701856146,0.993427297740789,1.0723037250431287,1.192694441896982,1.25022567986507,1.467560475572497,1.549019913533387,1.7003778171675938,1.8205950833099138,1.934166166849849,2.0882820731472913,2.1755177165266
0.85,0.01,0,0,0,0,0,-0.2221,0.25872993144139417,0.33134414913075333,0.516203925889425,0.5849172902889567,0.7621471181714277,0.8341008701856146,0.993427297740789,1.0723037250431287,1.192694441896982,1.25022567986507,1.467560475572497,1.549019913533387,1.7003778171675938,1.8205950833099138,1.934166166849849,2.0882820731472913,2.1755177165266
0.85,0.01,0,0,0,0,0,-0.1587,0.25863673540713766,0.33149197218291276,0.5160439837265243,0.5849041897626283,0.7623231917324035,0.8338559893909949,0.993549244114437,1.0723697055663837,1.1927208803828337,1.2500525411885375,1.4675692724613947,1.5491529620820796,1.7002207235516429,1.820601006460311,1.9341525123036751,2.088366951622908,2.175621534294747
0.85,0.01,0,0,0,0,0,-0.0952,0.25863673540713766,0.33149197218291276,0.5160439837265243,0.5849041897626283,0.7623231917324035,0.8338559893909949,0.993549244114437,1.0723697055663837,1.1927208803828337,1.2500525411885375,1.4675692724613947,1.5491529620820796,1.7002207235516429,1.820601006460311,1.9341525123036751,2.088366951622908,2.175621534294747
0.85,0.01,0,0,0,0,0,-0.0317,0.2585221542621112,0.33161442945292596,0.5159767524391906,0.5847660685357559,0.7623022302439143,0.8338557576787883,0.9938109791650761,1.072307898946842,1.1926429842877992,1.2499999448172734,1.4675830776282657,1.5492472276905418,1.7001119577103583,1.820777841369609,1.9340488360546897,2.0883024676928237,2.175773546442108
0.85,0.01,0,0,0,0,0,0.0317,0.2585221542621112,0.33161442945292596,0.5159767524391906,0.5847660685357559,0.7623022302439143,0.8338557576787883,0.9938109791650761,1.072307898946842,1.1926429842877992,1.2499999448172734,1.4675830776282657,1.5492472276905418,1.7001119577103583,1.820777841369609,1.9340488360546897,2.0883024676928237,2.175773546442108
0.85,0.01,0,0,0,0,0,0.0952,0.25841059871001293,0.3317331017512525,0.5158515110306856,0.5847086956682613,0.7625103631409792,0.833612808374008,0.9939076735301549,1.0724008561476512,1.1926330733736517,1.2498655545648123,1.4675636627213289,1.5493843007602937,1.6999575706591583,1.820769421392412,1.9340791042532148,2.088372453299224,2.175899515854498
0.85,0.01,0,0,0,0,0,0.1587,0.25841059871001293,0.3317331017512525,0.5158515110306856,0.5847086956682613,0.7625103631409792,0.833612808374008,0.9939076735301549,1.0724008561476512,1.1926330733736517,1.2498655545648123,1.4675636627213289,1.5493843007602937,1.6999575706591583,1.820769421392412,1.9340791042532148,2.088372453299224,2.175899515854498
0.85,0.01,0,0,0,0,0,0.2221,0.2582844569248137,0.33182731808215044,0.5158006692471135,0.5845383747616527,0.7625177788733202,0.8336158639433301,0.9941551890622388,1.0723527729910844,1.192535690848436,1.249834443516126,1.4675379249996117,1.5494985002799544,1.6998442860329084,1.820940019260107,1.9340130986676887,2.0882842356532265,2.1760868833261395
0.85,0.01,0,0,0,0,0,0.2856,0.2582844569248137,0.33182731808215044,0.5158006692471135,0.5845383747616527,0.7625177788733202,0.8336158639433301,0.9941551890622388,1.0723527729910844,1.192535690848436,1.249834443516126,1.4675379249996117,1.5494985002799544,1.6998442860329084,1.820940019260107,1.9340130986676887,2.0882842356532265,2.1760868833261395
0.85,0.01,0,0,0,0,0,0.3491,0.25816467358424816,0.33191088024204923,0.5157160455689532,0.5844433285035995,0.7627455848023381,0.8333858639924757,0.9942153023421059,1.0724719645199983,1.1924960303793717,1.2497394333294478,1.4674924441025359,1.549629559161967,1.6996996117539198,1.8209166875612384,1.934084992713538,2.0883420976076104,2.1762240259064964
0.85,0.01,0,0,0,0,0,0.4125,0.25816467358424816,0.33191088024204923,0.5157160455689532,0.5844433285035995,0.7627455848023381,0.8333858639924757,0.9942153023421059,1.0724719645199983,1.1924960303793717,1.2497394333294478,1.4674924441025359,1.549629559161967,1.6996996117539198,1.8209166875612384,1.934084992713538,2.0883420976076104,2.1762240259064964
0.85,0.01,0,0,0,0,0,0.476,0.2580315431407013,0.3319703161422224,0.5156864516915456,0.5842470833786821,0.7627802036367604,0.8333965124478457,0.9944387184596242,1.0724359645202122,1.1923784415480607,1.2497396223505517,1.4674276944164675,1.5497579213705601,1.6995916082965519,1.821071855087066,1.9340607770873484,2.088228194179024,2.176438303055455
0.85,0.01,0,0,0,0,0,0.5395,0.2580315431407013,0.3319703161422224,0.5156864516915456,0.5842470833786821,0.7627802036367604,0.8333965124478457,0.9944387184596242,1.0724359645202122,1.1923784415480607,1.2497396223505517,1.4674276944164675,1.5497579213705601,1.6995916082965519,1.821071855087066,1.9340607770873484,2.088228194179024,2.176438303055455
0.85,0.01,0,0,0,0,0,0.6029,0.2579148121452933,0.3320141738144196,0.515644775542708,0.5841237495369183,0.7630149916344231,0.833189802337244,0.994453440995143,1.0725781305768047,1.1923178058777046,1.2496819968897424,1.467360132770098,1.5498738746535106,1.6994633005831228,1.8210333787692854,1.934169197873739,2.0882770835717857,2.176575477332873
0.85,0.01,0,0,0,0,0,0.6664,0.2579148121452933,0.3320141738144196,0.515644775542708,0.5841237495369183,0.7630149916344231,0.833189802337244,0.994453440995143,1.0725781305768047,1.1923178058777046,1.2496819968897424,1.467360132770098,1.5498738746535106,1.6994633005831228,1.8210333787692854,1.934169197873739,2.0882770835717857,2.176575477332873
0.85,0.01,0,0,0,0,0,0.7299,0.2577797105917772,0.3320340951612833,0.5156410068588395,0.583908836635198,0.7630737310361553,0.8332127795254683,0.994642912733425,1.0725524172041743,1.1921804575569248,1.249721984199603,1.4672592990113176,1.5500089431203683,1.6993702270858364,1.8211646865636435,1.9341887951960048,2.0881376707747235,2.1768056863154883
0.85,0.01,0,0,0,0,0,0.7933,0.2577797105917772,0.3320340951612833,0.5156410068588395,0.583908836635198,0.7630737310361553,0.8332127795254683,0.994642912733425,1.0725524172041743,1.1921804575569248,1.249721984199603,1.4672592990113176,1.5500089431203683,1.6993702270858364,1.8211646865636435,1.9341887951960048,2.0881376707747235,2.1768056863154883
0.85,0.01,0,0,0,0,0,0.8568,0.2576763373706477,0.33203671357192327,0.5156407754596505,0.5837687993669175,0.7633034749884732,0.8330375306972382,0.9946073176961625,1.072711756299277,1.1921091784474902,1.249697428470931,1.467174524214497,1.550102938559252,1.6992631024588567,1.8211117454281691,1.9343264729424798,2.088180493394266,2.1769328876650267
0.85,0.01,0,0,0,0,0,0.9203,0.2576763373706477,0.33203671357192327,0.5156407754596505,0.5837687993669175,0.7633034749884732,0.8330375306972382,0.9946073176961625,1.072711756299277,1.1921091784474902,1.249697428470931,1.467174524214497,1.550102938559252,1.6992631024588567,1.8211117454281691,1.9343264729424798,2.088180493394266,2.1769328876650267
0.85,0.01,0,0,0,0,0,0.9837,0.25754536522958626,0.33201337726733454,0.5156672123206889,0.5835427585108969,0.7633808578562334,0.8330784706457779,0.9947532407878776,1.0726948771533023,1.191953605278572,1.2497836818813244,1.4670431467791412,1.5502354608653515,1.6991941091279248,1.8212123873211274,1.9343893665644185,2.0880182613617766,2.177165912527462
0.85,0.01,0,0,0,0,0,1.0472,0.25754536522958626,0.33201337726733454,0.5156672123206889,0.5835427585108969,0.7633808578562334,0.8330784706457779,0.9947532407878776,1.0726948771533023,1.191953605278572,1.2497836818813244,1.4670431467791412,1.5502354608653515,1.6991941091279248,1.8212123873211274,1.9343893665644185,2.0880182613617766,2.177165912527462
0.85,0.01,0,0,0,0,0,1.1107,0.2574638953340572,0.33197638364488646,0.5157031746270367,0.5833995761341795,0.763595065756935,0.8329398510497596,0.9946662962236341,1.0728635228090526,1.191883018198551,1.2497858982949406,1.4669468193739508,1.5503031432339869,1.6991110190998866,1.8211461380143568,1.9345474367802995,2.088057798547576,2.1772745948593384
0.85,0.01,0,0,0,0,0,1.1741,0.2574638953340572,0.33197638364488646,0.5157031746270367,0.5833995761341795,0.763595065756935,0.8329398510497596,0.9946662962236341,1.0728635228090526,1.191883018198551,1.2497858982949406,1.4669468193739508,1.5503031432339869,1.6991110190998866,1.8211461380143568,1.9345474367802995,2.088057798547576,2.1772745948593384
0.85,0.01,0,0,0,0,0,1.2376,0.2573439623684325,0.33190765104091385,0.5157639711875086,0.5831705671665456,0.7636831530512888,0.8330047356002697,0.9947597715764657,1.072853987372101,1.1917121983842351,1.2499227355611666,1.4667926148886032,1.5504223553742635,1.6990748013073382,1.8212108680554955,1.9346507430022255,2.0878775112032226,2.1774953434715187
0.85,0.01,0,0,0,0,0,1.3011,0.2573439623684325,0.33190765104091385,0.5157639711875086,0.5831705671665456,0.7636831530512888,0.8330047356002697,0.9947597715764657,1.072853987372101,1.1917121983842351,1.2499227355611666,1.4667926148886032,1.5504223553742635,1.6990748013073382,1.8212108680554955,1.9346507430022255,2.0878775112032226,2.1774953434715187
0.85,0.01,0,0,0,0,0,1.3645,0.2572904155635947,0.331835366542603,0.5158279034939975,0.5830380982366855,0.7638739603747086,0.832904198123628,0.9946241550754907,1.0730233318554234,1.1916536629736327,1.2499437458909417,1.466689954197437,1.5504625359883168,1.6990157919395248,1.8211331971530396,1.93482004473879,2.087916121189965,2.177579771291194
0.85,0.01,0,0,0,0,0,1.428,0.2572904155635947,0.331835366542603,0.5158279034939975,0.5830380982366855,0.7638739603747086,0.832904198123628,0.9946241550754907,1.0730233318554234,1.1916536629736327,1.2499437458909417,1.466689954197437,1.5504625359883168,1.6990157919395248,1.8211331971530396,1.93482004473879,2.087916121189965,2.177579771291194
0.85,0.01,0,0,0,0,0,1.4915,0.25718992538592256,0.33172167868569014,0.5159255944873353,0.5828169160741368,0.7639604478110962,0.8329995334512923,0.9946582429239371,1.073018644767833,1.1914733392441639,1.250131527352189,1.466524637362041,1.5505555244419749,1.6990202810153403,1.8211596653860147,1.9349561084790832,2.087725824053663,2.1777700912999913
0.85,0.01,0,0,0,0,0,1.5549,0.25718992538592256,0.33172167868569014,0.5159255944873353,0.5828169160741368,0.7639604478110962,0.8329995334512923,0.9946582429239371,1.073018644767833,1.1914733392441639,1.250131527352189,1.466524637362041,1.5505555244419749,1.6990202810153403,1.8211596653860147,1.9349561084790832,2.087725824053663,2.1777700912999913
0.85,0.01,0,0,0,0,0,1.6184,0.2571668623622891,0.33162059737293015,0.5160082391008831,0.5827073410444401,0.764124550320342,0.8329337879250193,0.9944797021287519,1.0731802664065941,1.1914363639967174,1.2501640772335951,1.4664186589681927,1.5505706217933644,1.698983947738116,1.8210711491205178,1.93512981512039,2.0877637279062364,2.1778281376673734
0.85,0.01,0,0,0,0,0,1.6819,0.2571668623622891,0.33162059737293015,0.5160082391008831,0.5827073410444401,0.764124550320342,0.8329337879250193,0.9944797021287519,1.0731802664065941,1.1914363639967174,1.2501640772335951,1.4664186589681927,1.5505706217933644,1.698983947738116,1.8210711491205178,1.93512981512039,2.0877637279062364,2.1778281376673734
0.85,0.01,0,0,0,0,0,1.7453,0.25709507361797823,0.3314674059830869,0.5161411541578357,0.582507808518913,0.7641915259873039,0.8330655427581037,0.994453182115066,1.0731762207488726,1.1912562922537537,1.2503956183283345,1.466257817779493,1.550624344817317,1.6990330936618916,1.8210635067914216,1.9352837772383849,2.087574887903246,2.177969092352086
0.85,0.01,0,0,0,0,0,1.8088,0.25709507361797823,0.3314674059830869,0.5161411541578357,0.582507808518913,0.7641915259873039,0.8330655427581037,0.994453182115066,1.0731762207488726,1.1912562922537537,1.2503956183283345,1.466257817779493,1.550624344817317,1.6990330936618916,1.8210635067914216,1.9352837772383849,2.087574887903246,2.177969092352086
