loss,mae,val_loss,val_mae,learning_rate
0.4570736587047577,0.47632765769958496,0.08001115918159485,0.22191976010799408,0.0010000000474974513
0.03841087594628334,0.14698034524917603,0.020627304911613464,0.09988225251436234,0.0010000000474974513
0.019543198868632317,0.08718599379062653,0.01757124625146389,0.08047430217266083,0.0010000000474974513
0.01725301891565323,0.07496378570795059,0.01571536250412464,0.07227173447608948,0.0010000000474974513
0.015315061435103416,0.06788087636232376,0.01428972277790308,0.06522475928068161,0.0010000000474974513
0.013423049822449684,0.06157580390572548,0.012920890003442764,0.06033600866794586,0.0010000000474974513
0.011562050320208073,0.05564946308732033,0.011114302091300488,0.0548752024769783,0.0010000000474974513
0.009868799708783627,0.05053206533193588,0.009139571338891983,0.04954305663704872,0.0010000000474974513
0.008490915410220623,0.046158354729413986,0.007406061980873346,0.04452943801879883,0.0010000000474974513
0.00744340056553483,0.0425846166908741,0.006096854340285063,0.04129638522863388,0.0010000000474974513
0.006674988195300102,0.0398358590900898,0.0052457707934081554,0.03911685198545456,0.0010000000474974513
0.006122788414359093,0.03809012100100517,0.004608546383678913,0.03754720091819763,0.0010000000474974513
0.005691292695701122,0.03662370145320892,0.004054389428347349,0.034929562360048294,0.0010000000474974513
0.0053681121207773685,0.03553037345409393,0.0036720901262015104,0.03331191465258598,0.0010000000474974513
0.005094175226986408,0.03436082974076271,0.0034001029562205076,0.03175058215856552,0.0010000000474974513
0.004891468212008476,0.03353433683514595,0.003118890570476651,0.030476074665784836,0.0010000000474974513
0.004721477627754211,0.03295246139168739,0.0029908798169344664,0.029754869639873505,0.0010000000474974513
0.004584206733852625,0.03248869627714157,0.0028580569196492434,0.028774656355381012,0.0010000000474974513
0.004474649205803871,0.03212939202785492,0.0028579561039805412,0.029564213007688522,0.0010000000474974513
0.004380011465400457,0.03182369843125343,0.0027662699576467276,0.02905692532658577,0.0010000000474974513
